id,price
100000,6513431.5
100001,6254854.5
100002,1447940.1
100003,6258696.0
100004,6076513.0
100005,4500834.0
100006,1853428.2
100007,14940452.0
100008,1602968.0
100009,4683683.5
100010,2807745.0
100011,1872776.4
100012,6998574.5
100013,5779362.0
100014,6810153.0
100015,6389473.5
100016,6525655.0
100017,2321089.0
100018,4654571.5
100019,3387753.2
100020,5362406.5
100021,4680252.0
100022,6237609.0
100023,2199113.8
100024,5591817.0
100025,5852600.0
100026,4109814.8
100027,5366164.5
100028,2992862.0
100029,2432589.5
100030,5690257.5
100031,2556982.0
100032,5895357.5
100033,4613994.0
100034,2825380.2
100035,5752098.0
100036,6319220.5
100037,4144478.8
100038,2756776.0
100039,3661117.8
100040,3453143.8
100041,4020913.8
100042,4474004.0
100043,4378998.5
100044,2402341.2
100045,22735044.0
100046,2506938.0
100047,4513079.0
100048,6629342.0
100049,4408647.0
100050,1532106.1
100051,2678493.8
100052,12566038.0
100053,3874866.2
100054,3349513.8
100055,2546252.0
100056,19340574.0
100057,6131585.0
100058,4952492.5
100059,4650939.0
100060,2490291.0
100061,1935550.2
100062,4509564.5
100063,4389953.5
100064,11589286.0
100065,4870646.0
100066,4443849.5
100067,2122181.2
100068,7405854.0
100069,4560809.0
100070,2935641.2
100071,3753252.5
100072,9388601.0
100073,4475212.5
100074,4258597.5
100075,2010216.4
100076,5089188.5
100077,7688378.0
100078,4088942.0
100079,3223311.5
100080,4927434.0
100081,3989325.8
100082,3196586.0
100083,5375713.0
100084,9595223.0
100085,5943189.5
100086,3724707.8
100087,5356657.0
100088,5768085.5
100089,2891570.2
100090,4973440.5
100091,4352661.0
100092,1977469.5
100093,11447037.0
100094,9684042.0
100095,3938430.0
100096,2326945.2
100097,28566904.0
100098,4034008.5
100099,5535433.5
100100,2934722.8
100101,9824766.0
100102,4368043.5
100103,3476468.5
100104,3558448.2
100105,5672544.0
100106,3671172.0
100107,3831800.0
100108,2569427.5
100109,6790455.5
100110,3185668.0
100111,2323685.5
100112,2850417.8
100113,2157179.8
100114,4821925.5
100115,3243858.5
100116,7707566.0
100117,8376441.0
100118,13480446.0
100119,3342324.8
100120,7961775.0
100121,2664388.0
100122,3459786.2
100123,3947066.5
100124,5168587.5
100125,19068648.0
100126,2126535.2
100127,5909363.0
100128,4780682.5
